week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,PenaltyPay_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_prcnt_as_dec
10/03/2017,1650.0,533.772,1236.9976,0.0,391.67811919999997,408.7800000000001,0,0.12595314085148904,0.04074561205974606,0.09442650481560841,0.0,0.029898842009723578,0.031204318131679815,0
10/10/2017,1650.0,688.3502000000001,1178.0239,0.0,402.62483445,373.24999999999994,0,0.11911112779468995,0.049691011296788115,0.0850398516958176,0.0,0.029064907945145352,0.02694438087840486,0
10/17/2017,1650.0,883.8736,1299.842,0.0,438.9604362,428.89,0,0.11561301171895527,0.061931690227197085,0.09107796871441835,0.0,0.030757295790635346,0.030051675512813774,0
10/24/2017,1650.0,804.3050000000001,1224.8400000000001,0.0,421.26210249999997,414.71,0,0.1114977115939375,0.05435040419609812,0.08276779216285965,0.0,0.028466521460606506,0.028023767257649587,0
10/31/2017,1650.0,738.5252,1291.5568,0.0,421.36938899999996,342.8499999999999,0,0.1253406035947685,0.05610132990178615,0.09811182356904712,0.0,0.0320089051840114,0.026044258146949318,0
11/07/2017,1606.6196,530.5823,1306.1521,0.0,394.264033,423.79999999999995,0,0.10571521067114456,0.03491219677817974,0.0859445163124226,0.0,0.025942485270720017,0.027885945299329758,0
11/14/2017,1586.4432,572.6233,1114.6838,0.0,374.84440935,346.37,0,0.11226004220251261,0.040520023549624744,0.0788773593851057,0.0,0.02652477517821433,0.024509866358710036,0
11/21/2017,1582.4449,657.9759000000001,1113.4163,0.0,384.01434795,376.61999999999995,0,0.11357808918038623,0.04722543290369536,0.07991412264420435,0.0,0.02756217032138874,0.0270314498451839,0
11/28/2017,1275.1667,672.9286999999999,740.0540000000001,0.0,307.7931063,260.75000000000006,0,0.12761250699275156,0.06734344492714028,0.07406101982588925,0.0,0.030802443264891934,0.026094597042378834,0
12/05/2017,1515.9999,812.1268,902.1564,0.0,369.86741494999995,344.32999999999987,0,0.10756181612036708,0.05762126602252555,0.06400896253925369,0.0,0.02624248911610575,0.0244305821819157,0
12/12/2017,1546.6381999999999,798.99,913.9224,0.0,373.2185437,354.47,0,0.12103336747893549,0.062525579855712,0.0715197036297375,0.0,0.029206505535422082,0.02773932376056551,0
12/19/2017,1509.6667,848.8175999999999,980.3505,0.0,382.29658459999996,388.80000000000007,0,0.10226784646139485,0.05750060459737878,0.06641090673348739,0.0,0.025897536467213884,0.02633809085421989,0
12/26/2017,1218.3333,589.6619,947.5003000000002,0.0,315.50423475,304.0,0,0.1107518337686138,0.053602849670517067,0.08613192770920054,0.0,0.028680716976483948,0.027634931644451154,0
