week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
06/24/2014,604081180 (1365352),06/19/2014,0,Sysco Food Services,0,557.73,2306.1889,419.17,230.4,94.61,0.0,31.98,6.5,0,0,2.64,3649.2189,0.0
06/24/2014,0728063 (1368927),06/23/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
06/24/2014,062414 (1371934),06/24/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
07/01/2014,604148206 (1375408),06/26/2014,0,Sysco Food Services,0,534.11,2043.7427,433.27,248.66,440.48,0.0,87.8,6.5,0,0,20.38,3814.9427,0.0
07/01/2014,0728455 (1375411),06/27/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/01/2014,0728673 (1380953),06/30/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/08/2014,070114 (1384722),07/02/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
07/08/2014,0729182 (1392840),07/05/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/08/2014,0729315 (1392854),07/07/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
07/08/2014,604215894 (1392875),07/03/2014,0,Sysco Food Services,0,515.58,1678.1128,450.96,190.29,94.61,0.0,31.98,6.5,0,0,2.64,2970.6728,0.0
07/15/2014,071014 (1396651),07/11/2014,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98,0.0
