week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Office Supplies 5230,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Operating Supplies 5220
09/17/2019,0.03590430716667365,0.13867299786136258,0.03322266378049292,0.011806123347826769,0.021141781119629405,0.015004483773936943,0.0011676945892906386,0,0.25692005163921283,0.2570283553574961,-20.08,1737.0611,1390.4389,553.1668,421.4363,315.8,0.0,4417.9031,0.0,0.0,0.0,0.0,0.0,4417.9031,11.36,34.0,1102.96,0.0,1148.32,0
09/24/2019,0.04045979353832001,0.1275459573119557,0.03560070766899256,0.019780737396413586,0.017151341185786397,0.022011974145295043,0.0014888414041257397,0,0.26403935265088907,0.26416411798808404,-29.05,1619.5443,1841.0434,593.1934,464.1579,289.08,0.0,4807.019,0.0,0.0,0.0,0.0,0.0,4807.019,54.3,107.55,58.96,0.0,220.81,0
10/01/2019,0.040403416094234056,0.15022032777135252,0.03665226820175198,0.02320156189410919,0.018366786602246703,0.009497014001120225,0.0008164799766155194,0,0.2791578545414303,0.2792845768025609,-217.87,1272.8524,1291.8336,591.738,361.4105,290.29,0.0,3808.1245,0.0,0.0,0.0,0.0,0.0,3808.1245,28.5,35.89,50.29,0.0,114.68,0
10/08/2019,0.041287482864976,0.14971285983550378,0.03622188999314599,0.0038316569568197434,0.02274474811514736,0.018375659698423585,0.0020460932145305007,0,0.274220390678547,0.27434890335846474,-108.6,1673.8001,1615.7357,673.9785,453.8224,293.58,0.0,4710.9167,0.0,0.0,0.0,0.0,0.0,4710.9167,45.14,32.29,73.84,0.0,151.27,0
10/15/2019,0.03330562338334622,0.12899266472277288,0.03232775101700537,0.009981515726857423,0.021641207584312903,0.012005304969932198,0.0014779929338393063,0,0.2397320603380662,0.23985550828870678,0.96,1826.6733,1171.6346,731.2518,427.0346,287.02,0.0,4443.614299999999,0.0,0.0,0.0,0.0,0.0,4443.614299999999,43.65,111.33,53.25,0.0,208.23,0
10/22/2019,0.04311811534731032,0.14356685070506606,0.030000768484667616,0.0185404312467358,0.01832704618369022,0.00844225173468625,0.0003514511676490346,0,0.2623469148698053,0.2624588301126614,-18.74,1910.7953,1587.8849,547.1899,463.2521,319.6,0.0,4828.7222,0.0,0.0,0.0,0.0,0.0,4828.7222,9.57,71.63,232.42,0.0,313.62,0
10/08/2019,0.041287482864976,0.14971285983550378,0.03622188999314599,0.0038316569568197434,0.02274474811514736,0.018375659698423585,0.0020460932145305007,0,0.274220390678547,0.27434890335846474,-108.6,1673.8001,1615.7357,673.9785,453.8224,293.58,0.0,4710.9167,0.0,0.0,0.0,0.0,0.0,4710.9167,45.14,32.29,73.84,0.0,151.27,0
11/05/2019,0.03894939658774135,0.14795206262885013,0.03174245563447327,0.016874541961466552,0.02062903673212194,0.022542516249666106,0.0016399834249981166,0,0.28032999321931745,0.28032999321931745,-16.24,1917.8484,1044.1295,527.1748,399.508,329.8,0.0,4218.4607,0.0,0.0,0.0,0.0,0.0,4218.4607,75.94,92.88,134.7,0.0,303.52,0
11/12/2019,0.04186783248816633,0.1388812721169892,0.0404679358905328,0.008792388942911716,0.0234924015333553,0.007686581891013194,0.0005351206405589087,0,0.2617235335035275,0.26185747439273427,-13.83,1880.1889,1151.0942,508.8829,405.349,324.01,0.0,4269.525000000001,0.0,0.0,0.0,0.0,0.0,4269.525000000001,0.0,7.68,41.42,0.0,49.1,0
11/19/2019,0.037847526797166964,0.12877772245380992,0.03054996627148677,0.014816400421156969,0.0290566881335821,0.023411199429702823,0.00021385362528755113,0,0.26467335713219303,0.2647906057297044,-8.73,1374.158,1325.9489,556.058,372.8309,343.09,0.0,3972.0858,0.0,0.0,0.0,0.0,0.0,3972.0858,30.4,19.04,277.9,0.0,327.34,0
11/26/2019,0.03268038961895756,0.1366731985385362,0.03576933407893539,0.014767326608254187,0.024011179318339616,0.008038239331974052,-0.003162245414076172,0,0.24877742208092082,0.24889523139319716,11.74,1812.6723,1029.1118,510.2267,383.8052,327.81,0.0,4063.6259999999997,0.0,0.0,0.0,0.0,0.0,4063.6259999999997,46.13,79.73,155.31,0.0,281.17,0
12/03/2019,0.04990803496806388,0.16012404349249537,0.032642939790102125,0.009067111596439751,0.027730675142294155,0.03839049501487507,0.008308829659815806,0,0.3261721296640862,0.3263246421548592,-52.81,1552.4903,1048.2493,340.5845,336.7816,222.43,0.0,3500.5357,0.0,0.0,0.0,0.0,0.0,3500.5357,23.31,41.55,42.12,0.0,106.97999999999999,0
12/10/2019,0.03242911842071145,0.09775220185944401,0.0390187644233678,0.016090161714583703,0.02626097328381731,-0.002786364173290734,0.0018185904066057215,0,0.2105834459352393,0.2105834459352393,-5.15,2391.7208,1119.1856,753.9654,488.3278,347.87,0.0,5101.0696,0.0,0.0,0.0,0.0,0.0,5101.0696,66.28,97.08,107.69,6.77,277.82,0
12/17/2019,0.03357852616821568,0.15788197785778188,0.03474279885999244,0.003507690746815638,0.026524460356452204,0.018801877569090672,0.0008924986395540837,0,0.27592983019790257,0.2760451222249209,20.0,1893.0015,1202.7575,856.0675,452.4841,360.48,0.0,4764.7906,0.0,0.0,0.0,0.0,0.0,4764.7906,54.0,142.5,66.47,22.5,285.47,0
12/24/2019,0.034733759411661694,0.10491239129165937,0.03019872468335959,0.016095969765948747,0.02696572404132376,0.01160354287048386,0.0013643553376524824,0,0.2258744674020895,0.22598390532889742,-9.01,2075.4182,1205.94,775.7619,464.5403,306.21,0.0,4827.8704,0.0,0.0,0.0,0.0,0.0,4827.8704,126.13,216.2,185.92,0.0,528.25,0
12/31/2019,0.03336668621868695,0.16155364168299974,0.025003829334706747,0.014323743305817444,0.021292007038727297,0.021637152653590643,-0.0028890351316423215,0,0.2742880251028865,0.27443108866602767,-16.61,1330.7866,932.8971,457.37,311.5606,227.93,0.0,3260.5443,0.0,0.0,0.0,0.0,0.0,3260.5443,60.8,111.31,76.19,0.0,248.3,0
