week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Office Supplies 5230,Operating Supplies 5220
08/21/2018,0.031567766636698046,0.12484645551304632,0.02702229908685108,0.011145395024350404,0.021856459597075804,0.01632960907040766,0.0006859452883103074,0.23345393021673944,0.23366850269181147,25.08,1474.0073,1071.2269,751.1596,377.4371,293.23,0.0,3967.0609,0.0,0.0,0.0,0.0,0.0,3967.0609,107.81,167.69,15.72,0.0,291.22,0,0
08/28/2018,0.032221515149612155,0.10685441537771291,0.031335027516521424,0.00811946363890732,0.025282202214858433,0.01085560437612821,0.0019254377977293202,0.21659366607146985,0.2168029967784006,-37.61,1575.9661,1119.315,672.8601,385.6522,325.76,0.0,4079.5534,0.0,0.0,0.0,0.0,0.0,4079.5534,89.82,186.93,14.89,0.0,291.64,0,0
09/04/2018,0.0334027332426719,0.1276819050970904,0.02567802044962069,0.009858831793144727,0.025467030195844842,0.014961930307539496,0.0014549315364016334,0.23850538262231374,0.23872626856638393,10.9,1487.5,1219.0391,885.848,411.3283,293.73,0.0,4297.4454000000005,0.0,0.0,0.0,0.0,0.0,4297.4454000000005,106.22,131.97,54.06,0.0,292.25,0,0
09/11/2018,0.03560190174022191,0.11748669013842261,0.03383047216308952,0.014167604656911572,0.023978454624071912,0.015190898014660649,0.0011145724084469545,0.24137059374582498,0.2415705916658466,-16.75,1591.1939,1380.4193,897.7486,443.0419,306.68,0.0,4619.0837,0.0,0.0,0.0,0.0,0.0,4619.0837,70.63,167.64,218.7,0.0,456.96999999999997,0,0
09/18/2018,0.03344675446873061,0.11582616781262865,0.026368436348282093,0.01355683068085261,0.017105398966809675,0.013457870908550666,0.0013915358671344347,0.22115299505298883,0.22131589716055114,-2.48,1493.3334,1219.7497,994.8577,424.5592,324.43,0.0,4456.93,0.0,0.0,0.0,0.0,0.0,4456.93,68.34,168.77,48.42,0.0,285.53000000000003,0,0
09/25/2018,0.03225222938464242,0.12900206969459452,0.027287410008730646,0.0041682868116940585,0.023293659538028536,0.004181731458521029,0.003925892660394357,0.2241112795566056,0.22428561367002597,-32.72,1468.7479,1630.7607,903.1396,458.3032,345.0,0.0,4805.9514,0.0,0.0,0.0,0.0,0.0,4805.9514,127.77,249.95,235.38,0.0,613.0999999999999,0,0
10/02/2018,0.027790992235704786,0.12817503536739533,0.026816885178898166,0.007920840347602928,0.024602319932297202,0.014692864685154572,0.000413406335670524,0.23041234408272354,0.2305882137759435,6.26,1529.6716,1418.8487,887.9797,439.2793,356.86,0.0,4632.6393,0.0,0.0,0.0,0.0,0.0,4632.6393,99.83,183.69,261.13,0.0,544.65,0,0
10/09/2018,0.037676613727157596,0.110425830646592,0.032784554959408276,0.015081764623111879,0.028008811185816454,0.009154831240020277,0.0001508577179319334,0.23328326410003844,0.23351268223447133,17.82,1479.2833,1313.8106,876.8191,420.205,374.46,0.0,4464.5779999999995,0.0,0.0,0.0,0.0,0.0,4464.5779999999995,95.48,177.75,52.17,0.0,325.40000000000003,0,0
10/16/2018,0.033531272721945456,0.10770735329381949,0.02705505852671965,0.011697001146554671,0.022324730189547767,0.017236826379855814,0.001221763103454392,0.22077400536189723,0.221005321031452,-4.83,1502.3334,1236.3557,860.2414,412.0775,304.95,0.0,4315.958,0.0,0.0,0.0,0.0,0.0,4315.958,76.42,173.47,32.26,0.0,282.15,0,0
10/23/2018,0.03369820236294035,0.12698751302825392,0.029641601098847063,0.013215103020942734,0.024886161475382744,0.014018014256315414,0.0014384482009522992,0.24388504344363449,0.24412686718153626,-2.54,1468.3333,1229.7529,842.5487,405.4027,276.85,0.0,4222.8876,0.0,0.0,0.0,0.0,0.0,4222.8876,96.56,179.32,63.89,0.0,339.77,0,0
10/30/2018,0.030593084279009378,0.12318783222647534,0.031825822028052425,0.01004629191294821,0.020723790458929033,0.015434386539163836,0.0003926595701513543,0.23220386701472961,0.23240675341187297,-6.85,1334.1666,1399.1224,837.9283,408.9044,306.06,0.0,4286.1817,0.0,0.0,0.0,0.0,0.0,4286.1817,122.86,187.61,32.88,0.0,343.35,0,0
11/06/2018,0.03586649736140072,0.11436019307013352,0.02650860699820987,0.011716988385503438,0.024500794103827616,0.009632032866967233,0.0016628262329966663,0.22424793901903908,0.22451975940013125,3.32,1302.8333,1235.6564,804.1271,382.7296,350.34,0.0,4075.6864000000005,0.0,0.0,0.0,0.0,0.0,4075.6864000000005,93.7,147.83,196.79,47.83,486.15000000000003,0,0
11/13/2018,0.032311588198949415,0.1005460328085882,0.030730023586262437,0.012981491844173776,0.0241305544826226,0.01992668609650718,-0.0010527078628096878,0.21957366915429388,0.2198351576514149,-26.24,1272.8333,1236.1021,764.3271,374.7886,289.46,0.0,3937.5111,0.0,0.0,0.0,0.0,0.0,3937.5111,98.05,121.97,161.64,19.46,401.11999999999995,0,0
11/20/2018,0.03857838797803062,0.11652141661465322,0.03425554843912117,0.007485324053865515,0.025220305770975004,0.008647453653654472,0.0025223249799085383,0.23323076149020855,0.23346873142984578,-9.81,1458.6667,1428.6552,704.2274,411.2324,246.26,0.0,4249.0417,0.0,0.0,0.0,0.0,0.0,4249.0417,73.02,156.71,224.7,0.0,454.43,0,0
11/27/2018,0.029532210761805195,0.10484412637429873,0.035628516590958934,0.011818480463132615,0.031296306486172626,0.016810206131464545,0.006221476140769579,0.23615132294860214,0.2364387687137458,31.26,1370.8334,929.3684,470.1782,317.2085,183.73,0.0,3271.3185,0.0,0.0,0.0,0.0,0.0,3271.3185,70.82,139.91,376.27,0.0,587.0,0,0
12/04/2018,0.03221338041676708,0.09205372204801698,0.028963956020175805,0.014473961366946557,0.026044928331491368,0.011824752386901043,0.0017598815138738521,0.2073345820841726,0.20758049138298684,-16.94,1540.6226,1190.8819,810.9925,405.6159,268.38,0.0,4216.4929,0.0,0.0,0.0,0.0,0.0,4216.4929,67.24,140.6,49.0,6.29,263.13,0,0
12/11/2018,0.03194525714738439,0.13421746610227042,0.03426098422255926,0.010045711003463343,0.04793683647599429,0.014383863492315001,0.001891404180908618,0.27468152262489537,0.27468152262489537,-1.59,1486.3333,1445.5615,683.8684,414.0049,310.81,0.0,4340.5781,0.0,0.0,0.0,0.0,0.0,4340.5781,74.81,195.74,29.66,0.0,300.21000000000004,0,0
12/25/2018,0.029546909518613107,0.12032113761619284,0.030365620745527212,0.012160000129429001,0.038824622896475404,0.02063122523153635,0.003855010398811195,0.2557045265365851,0.25598765247342864,-3.46,1380.5194,920.5054,763.2547,350.86,229.24,0.0,3644.3795,0.0,0.0,0.0,0.0,0.0,3644.3795,84.88,76.8,241.26,0.0,402.94,0,0
12/25/2018,0.029546909518613107,0.12032113761619284,0.030365620745527212,0.012160000129429001,0.038824622896475404,0.02063122523153635,0.003855010398811195,0.2557045265365851,0.25598765247342864,-3.46,1380.5194,920.5054,763.2547,350.86,229.24,0.0,3644.3795,0.0,0.0,0.0,0.0,0.0,3644.3795,84.88,76.8,241.26,0.0,402.94,0,0
