week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
04/28/2020,Bread 4311,135.9348,469.13,178.132,0.03274569464397066
04/28/2020,Food 4312,1052.4643,1878.2027,1191.8392000000003,0.13336788407273298
04/28/2020,Sides 4313,227.674,471.93999999999994,268.4741,0.033068378710260825
04/28/2020,Paper 4314,330.08129999999994,125.53999999999999,251.05919999999998,0.015689888578083924
04/28/2020,Produce 4315,181.49800000000002,388.96,330.8941,0.018374522447370457
04/28/2020,Beverage 4316,480.9819,179.99,465.5975000000001,0.014985193088113583
04/28/2020,Catering 4320,149.85999999999999,0.0,140.4702,0.0007201965357732061
04/28/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
04/28/2020,Sub Total COGS,2558.4943,3513.7627,2826.4663000000005,0.24895175807630562
04/28/2020,Discounted COGS,0.0,0.0,0.0,0.24895175807630557
05/05/2020,Bread 4311,178.132,449.09,219.07530000000003,0.025304628276562012
05/05/2020,Food 4312,1191.8392000000003,2123.5948,1710.4033999999997,0.09951006024428792
05/05/2020,Sides 4313,268.4741,481.9008,226.94490000000002,0.032452060934955146
05/05/2020,Paper 4314,251.05919999999998,138.04,303.4662,0.005309147993128046
05/05/2020,Produce 4315,330.8941,179.24,214.55120000000002,0.018325801505704203
05/05/2020,Beverage 4316,465.5975000000001,303.53999999999996,553.0533,0.013396973091876724
05/05/2020,Catering 4320,140.4702,0.0,117.35659999999999,0.0014330167465108606
05/05/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
05/05/2020,Sub Total COGS,2826.4663000000005,3675.4056,3344.8508999999995,0.1957316887930249
05/05/2020,Discounted COGS,0.0,0.0,0.0,0.1957316887930249
05/12/2020,Bread 4311,219.07530000000003,398.53,167.5079,0.029629214666578887
05/12/2020,Food 4312,1710.4033999999997,1290.4783,1133.3785000000003,0.12293484299914419
05/12/2020,Sides 4313,226.94490000000002,726.5916,304.88980000000004,0.04269940754394048
05/12/2020,Paper 4314,303.4662,226.82,343.265,0.01231131591073662
05/12/2020,Produce 4315,214.55120000000002,192.9996,70.03049999999999,0.022218438549140938
05/12/2020,Beverage 4316,553.0533,113.85,489.87890000000004,0.011653242051214534
05/12/2020,Catering 4320,117.35659999999999,0.0,91.5847,0.0016965242577842133
05/12/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
05/12/2020,Sub Total COGS,3344.8508999999995,2949.2695000000003,2600.5353,0.24314298597853984
05/12/2020,Discounted COGS,0.0,0.0,0.0,0.2431429859785399
05/19/2020,Bread 4311,167.5079,455.01,135.4814,0.03131433182345699
05/19/2020,Food 4312,1133.3785000000003,2527.7707000000005,1677.3055000000002,0.12755253437406575
05/19/2020,Sides 4313,304.88980000000004,532.25,322.4685,0.03309112944966132
05/19/2020,Paper 4314,343.265,400.2,362.5,0.024494395026087957
05/19/2020,Produce 4315,70.03049999999999,341.6296,166.9339,0.015734831850782637
05/19/2020,Beverage 4316,489.87890000000004,278.69,520.2084999999998,0.015968495127996588
05/19/2020,Catering 4320,91.5847,35.32,125.5156,8.931309734683874e-05
05/19/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
05/19/2020,Sub Total COGS,2600.5353,4570.8703,3310.4134,0.2482450307493981
05/19/2020,Discounted COGS,0.0,0.0,0.0,0.24824503074939805
05/26/2020,Bread 4311,135.4814,524.6795999999999,175.34210000000002,0.03304095815043272
05/26/2020,Food 4312,1677.3055000000002,1663.512,1825.6647000000005,0.10325938253708951
05/26/2020,Sides 4313,322.4685,394.79,237.9319,0.03266665167341703
05/26/2020,Paper 4314,362.5,314.93,279.54710000000006,0.027116171105690822
05/26/2020,Produce 4315,166.9339,157.9998,111.9953,0.014511993577437066
05/26/2020,Beverage 4316,520.2084999999998,159.64,462.04869999999994,0.014843303503581673
05/26/2020,Catering 4320,125.5156,37.32,151.8539,0.0007484153157407986
05/26/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
05/26/2020,Sub Total COGS,3310.4134,3252.8714,3244.3837000000008,0.22618687586338962
05/26/2020,Discounted COGS,0.0,0.0,0.0,0.22618687586338956
06/02/2020,Bread 4311,175.34210000000002,501.46999999999997,167.1009,0.03040742791146067
06/02/2020,Food 4312,1345.8387000000002,2186.8922000000002,1378.9944000000003,0.12848371266715666
06/02/2020,Sides 4313,237.9319,561.8100000000001,274.23620000000005,0.0313496675957124
06/02/2020,Paper 4314,296.47200000000004,304.46,402.4765,0.011839098905189615
06/02/2020,Produce 4315,111.9953,412.6298,200.81399999999996,0.019317336327278632
06/02/2020,Beverage 4316,462.04869999999994,141.76000000000002,258.6164,0.020592857245124895
06/02/2020,Catering 4320,151.8539,0.0,146.2433,0.0003347070165223786
06/02/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
06/02/2020,Sub Total COGS,2781.4826000000003,4109.022,2828.4817,0.24232480766844525
06/02/2020,Discounted COGS,0.0,0.0,0.0,0.24232480766844527
06/09/2020,Bread 4311,167.1009,590.25,216.11780000000002,0.030949252505752593
06/09/2020,Food 4312,1378.9944000000003,2940.8347999999996,2032.5664,0.13079221123803164
06/09/2020,Sides 4313,274.23620000000005,634.68,373.49019999999996,0.03061718596321084
06/09/2020,Paper 4314,402.4765,33.06,231.40120000000002,0.011673038742526199
06/09/2020,Produce 4315,200.81399999999996,215.78,97.05050000000001,0.018272408816223457
